model,accuracy,roc_auc,precision_revenue,recall_revenue,f1_revenue
PyTorch Neural Network,0.8321167883211679,0.9239229833887711,0.47640117994100295,0.8455497382198953,0.6094339622641509
Decision Tree,0.8613138686131386,0.9297646742571173,0.5328947368421053,0.8481675392670157,0.6545454545454545
